title_id,title,author,genre,publish_date,pages,format,rating,rating_couunts,reviews_counts,votes,year,description,is_bestseller,award
560,The Testaments,Margaret Atwood,"Fiction, Dystopia, Science Fiction, Feminism, Audiobook, Classics, Adult",2019-09-10,422.0,Hardcover,4.19,352440,31334,98291,2019,"When the van door slammed on Offred's future at the end of The Handmaid's Tale, readers had no way of telling what lay ahead for her--freedom, prison or death.With The Testaments, the wait is over.Margaret Atwood's sequel picks up the story more than fifteen years after Offred stepped into the unknown, with the explosive testaments of three female narrators from Gilead.In this brilliant sequel to The Handmaid's Tale, acclaimed author Margaret Atwood answers the questions that have tantalized readers for decades.""Dear Readers: Everything you've ever asked me about Gilead and its inner workings is the inspiration for this book. Well, almost everything! The other inspiration is the world we've been living in."" --Margaret AtwoodAn alternate cover edition of ISBN 978-0385543781 can be found here.",1,best-fiction-books-2019
267,Daisy Jones & The Six,Taylor Jenkins Reid,"Fiction, Historical Fiction, Audiobook, Contemporary, Music, Adult, Historical",2019-03-05,355.0,Hardcover,4.21,1490127,177136,82483,2019,"Daisy is a girl coming of age in L.A. in the late sixties, sneaking into clubs on the Sunset Strip, sleeping with rock stars, and dreaming of singing at the Whisky a Go Go. The sex and drugs are thrilling, but it’s the rock ’n’ roll she loves most. By the time she’s twenty, her voice is getting noticed, and she has the kind of heedless beauty that makes people do crazy things.Also getting noticed is The Six, a band led by the brooding Billy Dunne. On the eve of their first tour, his girlfriend Camila finds out she’s pregnant, and with the pressure of impending fatherhood and fame, Billy goes a little wild on the road.Daisy and Billy cross paths when a producer realizes that the key to supercharged success is to put the two together. What happens next will become the stuff of legend.The making of that legend is chronicled in this riveting and unforgettable novel, written as an oral history of one of the biggest bands of the seventies. Taylor Jenkins Reid is a talented writer who takes her work to a new level with Daisy Jones & The Six, brilliantly capturing a place and time in an utterly distinctive voice.",1,best-historical-fiction-books-2019
3091,"Red, White & Royal Blue",Casey McQuiston,"Romance, LGBT, Contemporary, Fiction, Queer, Young Adult, New Adult",2019-05-14,423.0,Paperback,4.09,990424,113784,76688,2019,"First Son Alex Claremont-Diaz is the closest thing to a prince this side of the Atlantic. With his intrepid sister and the Veep’s genius granddaughter, they’re the White House Trio, a beautiful millennial marketing strategy for his mother, President Ellen Claremont. International socialite duties do have downsides—namely, when photos of a confrontation with his longtime nemesis Prince Henry at a royal wedding leak to the tabloids and threaten American/British relations. The plan for damage control: staging a fake friendship between the First Son and the Prince. As President Claremont kicks off her reelection bid, Alex finds himself hurtling into a secret relationship with Henry that could derail the campaign and upend two nations. What is worth the sacrifice? How do you do all the good you can do? And, most importantly, how will history remember you?",0,best-romance-books-2019
559,The Institute,Stephen King,"Horror, Fiction, Thriller, Science Fiction, Fantasy, Audiobook, Mystery",2019-09-10,561.0,Hardcover,4.2,271364,26455,75717,2019,"In the middle of the night, in a house on a quiet street in suburban Minneapolis, intruders silently murder Luke Ellis’s parents and load him into a black SUV. The operation takes less than two minutes. Luke will wake up at The Institute, in a room that looks just like his own, except there’s no window. And outside his door are other doors, behind which are other kids with special talents—telekinesis and telepathy—who got to this place the same way Luke did: Kalisha, Nick, George, Iris, and ten-year-old Avery Dixon. They are all in Front Half. Others, Luke learns, graduated to Back Half, “like the roach motel,” Kalisha says. “You check in, but you don’t check out.”In this most sinister of institutions, the director, Mrs. Sigsby, and her staff are ruthlessly dedicated to extracting from these children the force of their extranormal gifts. There are no scruples here. If you go along, you get tokens for the vending machines. If you don’t, punishment is brutal. As each new victim disappears to Back Half, Luke becomes more and more desperate to get out and get help. But no one has ever escaped from the Institute.As psychically terrifying as Firestarter, and with the spectacular kid power of It, The Institute is Stephen King's gut-wrenchingly dramatic story of good versus evil in a world where the good guys don't always win.--front flap",1,best-horror-books-2019
203,The Silent Patient,Alex Michaelides,"Thriller, Mystery, Fiction, Mystery Thriller, Suspense, Crime, Psychological Thriller",2018-01-01,336.0,Hardcover,4.18,2175605,190773,68821,2019,"Alicia Berenson’s life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of London’s most desirable areas. One evening her husband Gabriel returns home late from a fashion shoot, and Alicia shoots him five times in the face, and then never speaks another word.Alicia’s refusal to talk, or give any kind of explanation, turns a domestic tragedy into something far grander, a mystery that captures the public imagination and casts Alicia into notoriety. The price of her art skyrockets, and she, the silent patient, is hidden away from the tabloids and spotlight at the Grove, a secure forensic unit in North London.Theo Faber is a criminal psychotherapist who has waited a long time for the opportunity to work with Alicia. His determination to get her to talk and unravel the mystery of why she shot her husband takes him down a twisting path into his own motivations—a search for the truth that threatens to consume him....The Silent Patient is a shocking psychological thriller of a woman’s act of violence against her husband—and of the therapist obsessed with uncovering her motive.",1,best-mystery-thriller-books-2019
650,Ninth House,Leigh Bardugo,"Fantasy, Mystery, Fiction, Horror, Paranormal, Adult, Urban Fantasy",2019-10-08,461.0,Hardcover,4.03,306570,45048,53430,2019,"Galaxy “Alex” Stern is the most unlikely member of Yale’s freshman class. Raised in the Los Angeles hinterlands by a hippie mom, Alex dropped out of school early and into a world of shady drug dealer boyfriends, dead-end jobs, and much, much worse. By age twenty, in fact, she is the sole survivor of a horrific, unsolved multiple homicide. Some might say she’s thrown her life away. But at her hospital bed, Alex is offered a second chance: to attend one of the world’s most elite universities on a full ride. What’s the catch, and why her?Still searching for answers to this herself, Alex arrives in New Haven tasked by her mysterious benefactors with monitoring the activities of Yale’s secret societies. These eight windowless “tombs” are well-known to be haunts of the future rich and powerful, from high-ranking politicos to Wall Street and Hollywood’s biggest players. But their occult activities are revealed to be more sinister and more extraordinary than any paranoid imagination might conceive.",1,best-fantasy-books-2019
3033,"My Sister, the Serial Killer",Oyinkan Braithwaite,"Fiction, Thriller, Mystery, Audiobook, Contemporary, Crime, Mystery Thriller",2018-07-17,226.0,Hardcover,3.67,294111,33631,52097,2019,"When Korede's dinner is interrupted one night by a distress call from her sister, Ayoola, she knows what's expected of her: bleach, rubber gloves, nerves of steel and a strong stomach. This'll be the third boyfriend Ayoola's dispatched in, quote, self-defence and the third mess that her lethal little sibling has left Korede to clear away. She should probably go to the police for the good of the menfolk of Nigeria, but she loves her sister and, as they say, family always comes first. Until, that is, Ayoola starts dating the doctor where Korede works as a nurse. Korede's long been in love with him, and isn't prepared to see him wind up with a knife in his back: but to save one would mean sacrificing the other...My Sister, the Serial Killer is a blackly comic novel about how blood is thicker - and more difficult to get out of the carpet - than water...",0,best-mystery-thriller-books-2019
186,The Wicked King,Holly Black,"Fantasy, Young Adult, Romance, Fae, Young Adult Fantasy, Fiction, Magic",2019-01-08,322.0,Hardcover,4.31,754673,71213,48181,2019,"You must be strong enough to strike and strike and strike again without tiring.The first lesson is to make yourself that strong.Jude has bound the wicked king, Cardan, to her, and made herself the power behind the throne. Navigating the constantly shifting political alliances of Faerie would be difficult enough if Cardan were biddable. But he does everything in his power to humiliate and undermine her, even as his fascination with her remains undiminished.When it becomes all too clear that someone close to Jude means to betray her, threatening her life and the lives of everyone she loves, Jude must uncover the traitor and fight her own complicated feelings for Cardan to maintain control as a mortal in a faerie world.",1,best-young-adult-fantasy-books-2019
3151,"Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life",Ali Wong,"Nonfiction, Memoir, Audiobook, Humor, Biography, Comedy, Autobiography",2019-10-15,240.0,Hardcover,3.85,92823,8946,41454,2019,"Ali Wong's heartfelt and hilarious letters to her daughters (the two she put to work while they were still in utero), covering everything they need to know in life, like the unpleasant details of dating, how to be a working mom in a male-dominated profession, and how she trapped their dad.In her hit Netflix comedy special Baby Cobra, an eight-month pregnant Ali Wong resonated so heavily that she became a popular Halloween costume. Wong told the world her remarkably unfiltered thoughts on marriage, sex, Asian culture, working women, and why you never see new mom comics on stage but you sure see plenty of new dads.The sharp insights and humor are even more personal in this completely original collection. She shares the wisdom she's learned from a life in comedy and reveals stories from her life off stage, including the brutal singles life in New York (i.e. the inevitable confrontation with erectile dysfunction), reconnecting with her roots (and drinking snake blood) in Vietnam, tales of being a wild child growing up in San Francisco, and parenting war stories. Though addressed to her daughters, Ali Wong's letters are absurdly funny, surprisingly moving, and enlightening (and disgusting) for all.",0,best-humor-books-2019
3111,Recursion,Blake Crouch,"Science Fiction, Fiction, Thriller, Time Travel, Audiobook, Mystery, Mystery Thriller",2019-06-11,326.0,Hardcover,4.16,235132,28701,41261,2019,"Memory makes reality.That's what NYC cop Barry Sutton is learning, as he investigates the devastating phenomenon the media has dubbed False Memory Syndrome—a mysterious affliction that drives its victims mad with memories of a life they never lived.That's what neuroscientist Helena Smith believes. It's why she's dedicated her life to creating a technology that will let us preserve our most precious memories. If she succeeds, anyone will be able to re-experience a first kiss, the birth of a child, the final moment with a dying parent.As Barry searches for the truth, he comes face to face with an opponent more terrifying than any disease—a force that attacks not just our minds, but the very fabric of the past. And as its effects begin to unmake the world as we know it, only he and Helena, working together, will stand a chance at defeating it.But how can they make a stand when reality itself is shifting and crumbling all around them?At once a relentless pageturner and an intricate science-fiction puzzlebox about time, identity, and memory, Recursion is a thriller as only Blake Crouch could imagine it—and his most ambitious, mind-boggling, irresistible work to date.",0,best-science-fiction-books-2019
