title_id,title,publisher,isbn,rank,weeks_on_list,list_id,bestsellers_date
1,THE RECKONING,Doubleday,9780385544153,1,9,1,2018-12-22
2,EVERY BREATH,Grand Central,9781538728529,2,10,1,2018-12-22
3,FIRE AND BLOOD,Bantam,9781524796280,3,5,1,2018-12-22
4,WHERE THE CRAWDADS SING,Putnam,9780735219090,4,15,1,2018-12-22
5,TARGET: ALEX CROSS,"Little, Brown",9780316273947,5,5,1,2018-12-22
6,A DOG'S WAY HOME,Forge,9781250301895,6,2,1,2018-12-22
7,PAST TENSE,Delacorte,9780399593512,7,7,1,2018-12-22
8,THE TATTOOIST OF AUSCHWITZ,Harper,9780062797155,8,15,1,2018-12-22
9,LONG ROAD TO MERCY,Grand Central Publishing,9781538761571,9,6,1,2018-12-22
10,NINE PERFECT STRANGERS,Flatiron,9781250069825,10,7,1,2018-12-22
11,THE NEXT PERSON YOU MEET IN HEAVEN,Harper,9780062294449,11,8,1,2018-12-22
12,SAFE AND SOUND,Zebra,9781420146011,12,1,1,2018-12-22
13,MILK AND HONEY,Andrews McMeel,9781449474256,13,53,1,2018-12-22
14,ELEVATION,Scribner,9781982102319,14,6,1,2018-12-22
15,TOM CLANCY: OATH OF OFFICE,Putnam,9780735215955,15,3,1,2018-12-22
16,BECOMING,Crown,9781524763138,1,6,2,2018-12-22
17,THE POINT OF IT ALL,Crown Forum,9781984825483,2,3,2,2018-12-22
18,EDUCATED,Random House,9780399590504,3,44,2,2018-12-22
19,KILLING THE SS,Holt,9781250165541,4,11,2,2018-12-22
20,SAPIENS,Harper,9780062316110,5,52,2,2018-12-22
21,SHADE,"Little, Brown",9780316421829,6,8,2,2018-12-22
22,LEADERSHIP,Simon & Schuster,9781476795928,7,14,2,2018-12-22
23,CHURCHILL: WALKING WITH DESTINY,Viking,9781101980996,8,3,2,2018-12-22
24,BRIEF ANSWERS TO THE BIG QUESTIONS,Bantam,9781984819192,9,10,2,2018-12-22
25,BEASTIE BOYS BOOK,Spiegel & Grau,9780812995541,10,8,2,2018-12-22
26,FEAR,Simon & Schuster,9781501175510,11,15,2,2018-12-22
27,SHIP OF FOOLS,Free Press,9781501183669,12,12,2,2018-12-22
28,THE FIFTH RISK,Norton,9781324002642,13,10,2,2018-12-22
29,OBAMA,"Little, Brown",9780316512589,14,17,2,2018-12-22
30,BAD BLOOD,Knopf,9781524731656,15,20,2,2018-12-22
1,THE RECKONING,Doubleday,9780385544153,1,9,3,2018-12-22
3,FIRE AND BLOOD,Bantam,9781524796280,2,5,3,2018-12-22
2,EVERY BREATH,Grand Central,9781538728529,3,10,3,2018-12-22
5,TARGET: ALEX CROSS,"Little, Brown",9780316273947,4,5,3,2018-12-22
4,WHERE THE CRAWDADS SING,Putnam,9780735219090,5,16,3,2018-12-22
11,THE NEXT PERSON YOU MEET IN HEAVEN,Harper,9780062294449,6,11,3,2018-12-22
14,ELEVATION,Scribner,9781982102319,7,8,3,2018-12-22
7,PAST TENSE,Delacorte,9780399593512,8,7,3,2018-12-22
9,LONG ROAD TO MERCY,Grand Central,9781538761571,9,6,3,2018-12-22
10,NINE PERFECT STRANGERS,Flatiron,9781250069825,10,7,3,2018-12-22
15,TOM CLANCY: OATH OF OFFICE,Putnam,9780735215955,11,4,3,2018-12-22
31,LOOK ALIVE TWENTY-FIVE,Putnam,9780399179228,12,6,3,2018-12-22
32,THE OUTSIDER,Scribner,9781501180989,13,21,3,2018-12-22
33,KINGDOM OF THE BLIND,Minotaur,9781250066206,14,4,3,2018-12-22
34,THE PRESIDENT IS MISSING,"Little, Brown and Knopf",9780316412698,15,18,3,2018-12-22
16,BECOMING,Crown,9781524763138,1,6,4,2018-12-22
17,THE POINT OF IT ALL,Crown Forum,9781984825483,2,3,4,2018-12-22
18,EDUCATED,Random House,9780399590504,3,44,4,2018-12-22
19,KILLING THE SS,Holt,9781250165541,4,11,4,2018-12-22
21,SHADE,"Little, Brown",9780316421829,5,10,4,2018-12-22
22,LEADERSHIP,Simon & Schuster,9781476795928,6,14,4,2018-12-22
23,CHURCHILL: WALKING WITH DESTINY,Viking,9781101980996,7,6,4,2018-12-22
24,BRIEF ANSWERS TO THE BIG QUESTIONS,Bantam,9781984819192,8,10,4,2018-12-22
25,BEASTIE BOYS BOOK,Spiegel & Grau,9780812995541,9,8,4,2018-12-22
27,SHIP OF FOOLS,Free Press,9781501183669,10,12,4,2018-12-22
26,FEAR,Simon & Schuster,9781501175510,11,15,4,2018-12-22
28,THE FIFTH RISK,Norton,9781324002642,12,10,4,2018-12-22
29,OBAMA,"Little, Brown",9780316512589,13,22,4,2018-12-22
35,ASTROPHYSICS FOR PEOPLE IN A HURRY,Norton,9780393609394,14,77,4,2018-12-22
36,THE MAMBA MENTALITY,"Melcher/MCD/Farrar, Straus & Giroux",9780374201234,15,6,4,2018-12-22
8,THE TATTOOIST OF AUSCHWITZ,Harper,9780062797155,1,16,5,2018-12-22
6,A DOG'S WAY HOME,Forge,9781250301895,2,4,5,2018-12-22
13,MILK AND HONEY,Andrews McMeel,9781449474256,3,141,5,2018-12-22
37,CRAZY RICH ASIANS,Anchor,9780345803788,4,35,5,2018-12-22
38,ELEANOR OLIPHANT IS COMPLETELY FINE,Penguin,9780735220690,5,29,5,2018-12-22
39,THE SUN AND HER FLOWERS,Andrews McMeel,9781449486792,6,64,5,2018-12-22
40,ONE DAY IN DECEMBER,Broadway,9780525574682,7,3,5,2018-12-22
41,ALL THE LIGHT WE CANNOT SEE,Scribner,9781501173219,8,64,5,2018-12-22
42,THE NIGHTINGALE,St. Martin's Griffin,9781250080400,9,27,5,2018-12-22
43,LESS,Back Bay,9780316316132,10,31,5,2018-12-22
44,CHINA RICH GIRLFRIEND,Anchor,9780804172066,11,20,5,2018-12-22
45,THE ALICE NETWORK,Morrow,9780062654199,12,7,5,2018-12-22
46,THE WOMAN IN CABIN 10,Scout,9781501132957,13,72,5,2018-12-22
47,PACHINKO,Grand Central,9781455563920,14,42,5,2018-12-22
48,THE WIFE BETWEEN US,St. Martin's,9781250130945,15,7,5,2018-12-22
20,SAPIENS,Harper Perennial,9780062316110,1,32,6,2018-12-22
49,KILLERS OF THE FLOWER MOON,Vintage,9780307742483,2,38,6,2018-12-22
50,THE INNOCENT MAN,Bantam/Dell,9780345532015,3,41,6,2018-12-22
51,MY OWN WORDS,Simon & Schuster,9781501145254,4,6,6,2018-12-22
52,SHOE DOG,Scribner,9781501135927,5,23,6,2018-12-22
53,ALEXANDER HAMILTON,Penguin,9780143034759,6,108,6,2018-12-22
54,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS,Sentinel,9780735213241,7,9,6,2018-12-22
55,JUST MERCY,Spiegel & Grau,9780812984965,8,133,6,2018-12-22
56,"THINKING, FAST AND SLOW","Farrar, Straus & Giroux",9780374533557,9,194,6,2018-12-22
57,GRIT,Scribner,9781501111112,10,17,6,2018-12-22
58,WHITE FRAGILITY,Beacon Press,9780807047415,11,24,6,2018-12-22
59,THE BODY KEEPS THE SCORE,Penguin,9780143127741,12,9,6,2018-12-22
60,THE DEVIL IN THE WHITE CITY,Vintage,9780375725609,13,367,6,2018-12-22
61,HOMO DEUS,Harper Perennial,9780062464347,14,4,6,2018-12-22
62,BEAUTIFUL BOY,Mariner,9781328974716,15,15,6,2018-12-22
63,HOMEBODY,Harper Design,9780062801975,1,7,7,2018-12-22
64,"GIRL, WASH YOUR FACE",Thomas Nelson,9781400201655,2,37,7,2018-12-22
65,MAGNOLIA TABLE,Morrow,9780062820150,3,30,7,2018-12-22
66,WHOSE BOAT IS THIS BOAT?,Simon & Schuster,9781982121082,4,7,7,2018-12-22
67,THE SUBTLE ART OF NOT GIVING A F*CK,HarperOne/HarperCollins,9780062457714,5,106,7,2018-12-22
68,YOU ARE A BADASS,Running Press,9780762447695,6,151,7,2018-12-22
69,"GMORNING, GNIGHT!",Random House,9781984854278,7,10,7,2018-12-22
70,COOK LIKE A PRO,Clarkson Potter,9780804187046,8,9,7,2018-12-22
71,CRAVINGS: HUNGRY FOR MORE,Clarkson Potter,9781524759728,9,8,7,2018-12-22
72,WHISKEY IN A TEACUP,Touchstone,9781501166273,10,8,7,2018-12-22
73,WONDER,Knopf,9780375869020,1,176,8,2018-12-22
74,WOMEN IN SCIENCE,Ten Speed,9781607749769,2,78,8,2018-12-22
75,THE ATLAS OBSCURA EXPLORER'S GUIDE FOR THE WORLD'S MOST ADVENTUROUS KID,Workman,9781523503544,3,7,8,2018-12-22
76,THE GIRL WHO DRANK THE MOON,Algonquin,9781616205676,4,51,8,2018-12-22
77,DOG DIARIES,jimmy patterson,9780316487481,5,2,8,2018-12-22
78,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,Sourcebooks Jabberwocky,9781492681830,6,10,8,2018-12-22
79,MAX EINSTEIN: THE GENIUS EXPERIMENT,jimmy patterson,9780316523967,7,11,8,2018-12-22
80,WISHTREE,Feiwel and Friends,9781250043221,8,56,8,2018-12-22
81,"MAC B., KID SPY: MAC UNDERCOVER",Orchard,9781338143591,9,5,8,2018-12-22
82,MINECRAFT: THE CRASH,Del Rey,9780399180668,10,18,8,2018-12-22
83,DRAGONS LOVE TACOS,Dial,9780803736801,1,251,9,2018-12-22
84,CONSTRUCTION SITE ON CHRISTMAS NIGHT,Chronicle,9781452139111,2,10,9,2018-12-22
85,THE WONDERFUL THINGS YOU WILL BE,Random House,9780385376716,3,164,9,2018-12-22
86,"ROSIE REVERE, ENGINEER",Abrams,9781419708459,4,146,9,2018-12-22
87,P IS FOR PTERODACTYL,Sourcebooks Jabberwocky,9781492674313,5,3,9,2018-12-22
88,THE DAY THE CRAYONS QUIT,Philomel,9780399255373,6,255,9,2018-12-22
89,HOW TO CATCH AN ELF,Sourcebooks Jabberwocky,9781492646310,7,13,9,2018-12-22
90,THE BOOK WITH NO PICTURES,Dial,9780803741713,8,149,9,2018-12-22
91,GRUMPY MONKEY,Random House,9780553537864,9,2,9,2018-12-22
92,THE NIGHT BEFORE CHRISTMAS,Various publishers,9780062089441,10,81,9,2018-12-22
93,DIARY OF A WIMPY KID,Amulet,9781419727436,1,510,10,2018-12-22
94,HARRY POTTER,Scholastic,9781338263893,2,509,10,2018-12-22
95,DOG MAN,Scholastic,9780545935173,3,69,10,2018-12-22
96,DORK DIARIES,Simon & Schuster,9781534426382,4,271,10,2018-12-22
97,CAPTAIN UNDERPANTS,Scholastic,9780545499088,5,150,10,2018-12-22
98,DARK ARTIFICES,Margaret K. McElderry,9781442468436,6,3,10,2018-12-22
99,TO ALL THE BOYS I'VE LOVED BEFORE,Simon & Schuster,9781442426740,7,23,10,2018-12-22
100,PERCY JACKSON & THE OLYMPIANS,Disney-Hyperion,9780786838653,8,491,10,2018-12-22
101,MISS PEREGRINE’S PECULIAR CHILDREN,Quirk/Penguin,9780735232143,9,107,10,2018-12-22
102,BABY-SITTERS CLUB GRAPHIX,Graphix,9781338118988,10,15,10,2018-12-22
103,THE HATE U GIVE,Balzer & Bray,9780062498533,1,95,11,2018-12-22
104,DEAR EVAN HANSEN: THE NOVEL,Poppy,9780316420235,2,11,11,2018-12-22
105,BRIDGE OF CLAY,Knopf,9781984830159,3,11,11,2018-12-22
106,CHILDREN OF BLOOD AND BONE,Holt,9781250170972,4,42,11,2018-12-22
107,ONE OF US IS LYING,Delacorte,9781524714680,5,70,11,2018-12-22
108,SKYWARD,Delacorte,9780399555770,6,6,11,2018-12-22
109,TURTLES ALL THE WAY DOWN,Dutton,9780525555360,7,61,11,2018-12-22
110,WHAT IF IT'S US,Balzer & Bray,9780062795250,8,11,11,2018-12-22
111,FIVE FEET APART,Simon & Schuster,9781534437333,9,3,11,2018-12-22
3316,FIVE FEET APART,Simon & Schuster,9781534437333,9,3,11,2018-12-22
112,GIRLS OF PAPER AND FIRE,jimmy patterson,9780316561365,10,7,11,2018-12-22
4,WHERE THE CRAWDADS SING,Penguin Audio,9780525640370,1,0,12,2018-12-22
113,OF BLOOD AND BONE,Brilliance Audio,9781531834517,2,0,12,2018-12-22
3078,OF BLOOD AND BONE,Brilliance Audio,9781531834517,2,0,12,2018-12-22
40,ONE DAY IN DECEMBER,Random House Audio,9781984827135,3,0,12,2018-12-22
1,THE RECKONING,Random House Audio,9780525639268,4,0,12,2018-12-22
10,NINE PERFECT STRANGERS,Macmillan Audio,9781427299130,5,0,12,2018-12-22
9,LONG ROAD TO MERCY,Hachette Audio,9781478999287,6,0,12,2018-12-22
3,FIRE AND BLOOD,Random House Audio,9781984838704,7,0,12,2018-12-22
114,CIRCE,Hachette Audio,9781478975311,8,0,12,2018-12-22
2,EVERY BREATH,Hachette Audio,9781478992660,9,0,12,2018-12-22
115,THE NAME OF THE WIND,Brilliance Audio,9781423389309,10,0,12,2018-12-22
116,THEN SHE WAS GONE,Dreamscape Media,9781520098272,11,0,12,2018-12-22
7,PAST TENSE,Random House Audio,9781524774325,12,0,12,2018-12-22
48,THE WIFE BETWEEN US,Macmillan Audio,9781427293046,13,0,12,2018-12-22
38,ELEANOR OLIPHANT IS COMPLETELY FINE,Penguin Audio,9781524749699,14,0,12,2018-12-22
117,A GAME OF THRONES,Random House Audio,9781415900642,15,0,12,2018-12-22
16,BECOMING,Random House Audio,9780525633686,1,0,13,2018-12-22
18,EDUCATED,Random House Audio,9780525528067,2,0,13,2018-12-22
20,SAPIENS,Harper Audio,9780062796233,3,0,13,2018-12-22
118,EVIL HAS A NAME,Audible Studios,DORORIG000383,4,0,13,2018-12-22
30,BAD BLOOD,Random House Audio,9780525642848,5,0,13,2018-12-22
119,BORN A CRIME,Audible Studios,9781603932158,6,0,13,2018-12-22
