award,year,award_id
best-fiction-books-2023,2023,1
best-historical-fiction-books-2023,2023,2
best-mystery-thriller-books-2023,2023,3
best-romance-books-2023,2023,4
best-romantasy-books-2023,2023,5
best-fantasy-books-2023,2023,6
best-science-fiction-books-2023,2023,7
best-horror-books-2023,2023,8
best-young-adult-fantasy-books-2023,2023,9
best-young-adult-fiction-books-2023,2023,10
best-debut-novel-2023,2023,11
best-nonfiction-books-2023,2023,12
best-memoir-autobiography-books-2023,2023,13
best-history-biography-books-2023,2023,14
best-humor-books-2023,2023,15
best-fiction-books-2022,2022,16
best-mystery-thriller-books-2022,2022,17
best-historical-fiction-books-2022,2022,18
best-fantasy-books-2022,2022,19
best-romance-books-2022,2022,20
best-science-fiction-books-2022,2022,21
best-horror-books-2022,2022,22
best-humor-books-2022,2022,23
best-nonfiction-books-2022,2022,24
best-memoir-autobiography-books-2022,2022,25
best-history-biography-books-2022,2022,26
best-graphic-novels-comics-2022,2022,27
best-poetry-books-2022,2022,28
best-debut-novel-2022,2022,29
best-young-adult-fiction-books-2022,2022,30
best-young-adult-fantasy-books-2022,2022,31
best-childrens-books-2022,2022,32
best-fiction-books-2021,2021,33
best-mystery-thriller-books-2021,2021,34
best-historical-fiction-books-2021,2021,35
best-fantasy-books-2021,2021,36
best-romance-books-2021,2021,37
best-science-fiction-books-2021,2021,38
best-horror-books-2021,2021,39
best-humor-books-2021,2021,40
best-nonfiction-books-2021,2021,41
best-memoir-autobiography-books-2021,2021,42
best-history-biography-books-2021,2021,43
best-graphic-novels-comics-2021,2021,44
best-poetry-books-2021,2021,45
best-debut-novel-2021,2021,46
best-young-adult-fiction-books-2021,2021,47
best-young-adult-fantasy-books-2021,2021,48
best-childrens-books-2021,2021,49
best-fiction-books-2020,2020,50
best-mystery-thriller-books-2020,2020,51
best-historical-fiction-books-2020,2020,52
best-fantasy-books-2020,2020,53
best-romance-books-2020,2020,54
best-science-fiction-books-2020,2020,55
best-horror-books-2020,2020,56
best-humor-books-2020,2020,57
best-nonfiction-books-2020,2020,58
best-memoir-autobiography-books-2020,2020,59
best-history-biography-books-2020,2020,60
best-science-technology-books-2020,2020,61
best-food-cookbooks-2020,2020,62
best-graphic-novels-comics-2020,2020,63
best-poetry-books-2020,2020,64
best-debut-novel-2020,2020,65
best-young-adult-fiction-books-2020,2020,66
best-young-adult-fantasy-books-2020,2020,67
best-childrens-books-2020,2020,68
best-picture-books-2020,2020,69
best-fiction-books-2019,2019,70
best-mystery-thriller-books-2019,2019,71
best-historical-fiction-books-2019,2019,72
best-fantasy-books-2019,2019,73
best-romance-books-2019,2019,74
best-science-fiction-books-2019,2019,75
best-horror-books-2019,2019,76
best-humor-books-2019,2019,77
best-nonfiction-books-2019,2019,78
best-memoir-autobiography-books-2019,2019,79
best-history-biography-books-2019,2019,80
best-science-technology-books-2019,2019,81
best-food-cookbooks-2019,2019,82
best-graphic-novels-comics-2019,2019,83
best-poetry-books-2019,2019,84
best-debut-novel-2019,2019,85
best-young-adult-fiction-books-2019,2019,86
best-young-adult-fantasy-books-2019,2019,87
best-childrens-books-2019,2019,88
best-picture-books-2019,2019,89
