list_name,list_id
combined-print-and-e-book-fiction,1
combined-print-and-e-book-nonfiction,2
hardcover-fiction,3
hardcover-nonfiction,4
trade-fiction-paperback,5
paperback-nonfiction,6
advice-how-to-and-miscellaneous,7
childrens-middle-grade-hardcover,8
picture-books,9
series-books,10
young-adult-hardcover,11
audio-fiction,12
audio-nonfiction,13
business-books,14
science,15
sports,16
graphic-books-and-manga,17
mass-market-monthly,18
middle-grade-paperback-monthly,19
young-adult-paperback-monthly,20
