title,ISBN,author,genre,rating,number_of_ratings,number_of_reviews,pages,format,publish info,description,Votes
"Tomorrow, and Tomorrow, and Tomorrow",ISBN not found,Gabrielle Zevin,"Fiction, Contemporary, Romance, Audiobook, Literary Fiction, Adult, Historical Fiction",4.17,"850,733","104,266",401,Hardcover,"First published July 5, 2022","In this exhilarating novel, two friends—often in love, but never lovers—come together as creative partners in the world of video game design, where success brings them fame, joy, tragedy, duplicity, and, ultimately, a kind of immortality.On a bitter-cold day, in the December of his junior year at Harvard, Sam Masur exits a subway car and sees, amid the hordes of people waiting on the platform, Sadie Green. He calls her name. For a moment, she pretends she hasn't heard him, but then, she turns, and a game begins: a legendary collaboration that will launch them to stardom. These friends, intimates since childhood, borrow money, beg favors, and, before even graduating college, they have created their first blockbuster,  Ichigo. Overnight, the world is theirs. Not even twenty-five years old, Sam and Sadie are brilliant, successful, and rich, but these qualities won't protect them from their own creative ambitions or the betrayals of their hearts.Spanning thirty years, from Cambridge, Massachusetts, to Venice Beach, California, and lands in between and far beyond, Gabrielle Zevin's Tomorrow, and Tomorrow, and Tomorrow is a dazzling and intricately imagined novel that examines the multifarious nature of identity, disability, failure, the redemptive possibilities in play, and above all, our need to connect: to be loved and to love. Yes, it is a love story, but it is not one you have read before.",90971
Wish You Were Here,ISBN not found,Jodi Picoult,"Fiction, Contemporary, Audiobook, Romance, Adult, Adult Fiction, Historical Fiction",3.93,"236,465","22,533",310,Hardcover,"First published November 30, 2021","A deeply moving novel about the resilience of the human spirit in a moment of crisis. Diana O'Toole is perfectly on track. She will be married by thirty, done having kids by thirty-five, and move out to the New York City suburbs, all while climbing the professional ladder in the cutthroat art auction world. She's not engaged just yet, but she knows her boyfriend, Finn, a surgical resident, is about to propose on their romantic getaway to the Galápagos—days before her thirtieth birthday. Right on time. But then a virus that felt worlds away has appeared in the city, and on the eve of their departure, Finn breaks the news: It's all hands on deck at the hospital. He has to stay behind. You should still go, he assures her, since it would be a shame for all of their nonrefundable trip to go to waste. And so, reluctantly, she goes. Almost immediately, Diana's dream vacation goes awry. The whole island is now under quarantine, and she is stranded until the borders reopen. Completely isolated, she must venture beyond her comfort zone. Slowly, she carves out a connection with a local family when a teenager with a secret opens up to Diana, despite her father's suspicion of outsiders. Diana finds herself examining her relationships, her choices, and herself—and wondering if when she goes home, she too will have evolved into someone completely different.",54368
The Winners,ISBN not found,Fredrik Backman,"Fiction, Contemporary, Audiobook, Sports, Literary Fiction, Adult, Adult Fiction",4.46,"111,402","15,500",673,Hardcover,"First published January 1, 2022","Two years have passed since the events that no one wants to think about. Everyone has tried to move on, but there’s something about this place that prevents it. The residents continue to grapple with life’s big questions: What is a family? What is a community? And what, if anything, are we willing to sacrifice in order to protect them?As the locals of Beartown struggle to overcome the past, great change is on the horizon. Someone is coming home after a long time away. Someone will be laid to rest. Someone will fall in love, someone will try to fix their marriage, and someone will do anything to save their children. Someone will submit to hate, someone will fight, and someone will grab a gun and walk towards the ice rink.So what are the residents of Beartown willing to sacrifice for their home?Everything.The long-awaited conclusion to the beloved New York Times bestselling and “engrossing” (People) Beartown series—which inspired an HBO series of the same name—follows the small hockey town’s residents as they grapple with change, pain, hope, and redemption.",52412
Remarkably Bright Creatures,ISBN not found,Shelby Van Pelt,"Fiction, Audiobook, Contemporary, Mystery, Magical Realism, Animals, Literary Fiction",4.40,"546,439","67,292",360,Hardcover,"First published May 3, 2022","Remarkably Bright Creatures, an exploration of friendship, reckoning, and hope, tracing a widow's unlikely connection with a giant Pacific octopus.After Tova Sullivan's husband died, she began working the night shift at the Sowell Bay Aquarium, mopping floors and tidying up. Keeping busy has always helped her cope, which she's been doing since her eighteen-year-old son, Erik, mysteriously vanished on a boat in Puget Sound over thirty years ago.Tova becomes acquainted with curmudgeonly Marcellus, a giant Pacific octopus living at the aquarium. Marcellus knows more than anyone can imagine but wouldn't dream of lifting one of his eight arms for his human captors--until he forms a remarkable friendship with Tova.Ever the detective, Marcellus deduces what happened the night Tova's son disappeared. And now Marcellus must use every trick his old invertebrate body can muster to unearth the truth for her before it's too late.Shelby Van Pelt's debut novel is a gentle reminder that sometimes taking a hard look at the past can help uncover a future that once felt impossible.",45635
The Hotel Nantucket,ISBN not found,Elin Hilderbrand,"Fiction, Romance, Audiobook, Chick Lit, Contemporary, Historical Fiction, Mystery",4.06,"221,829","17,121",416,Hardcover,"First published June 14, 2022","After a tragic fire in 1922 that killed 19-year-old chambermaid, Grace Hadley, The Hotel Nantucket descended from a gilded age gem to a mediocre budget-friendly lodge to inevitably an abandoned eyesore — until it's purchased and renovated top to bottom by London billionaire, Xavier Darling.  Xavier hires Nantucket sweetheart Lizbet Keaton as his general manager, and Lizbet, in turn, pulls together a charismatic, if inexperienced, staff who share the vision of turning the fate of the hotel around. They face challenges in getting along with one another (and with the guests), in overcoming the hotel's bad reputation, and in surviving the (mostly) harmless shenanigans of Grace Hadley herself — who won't stop haunting the hotel until her murder is acknowledged. Filled with the emotional tension and multiple points of view that characterize Elin's books (The Blue Bistro, Golden Girl) as well as an added touch of historical reality, Hotel Nantucket offers something for everyone in this summer drama for the ages. ",39882
Our Missing Hearts,ISBN not found,Celeste Ng,"Fiction, Dystopia, Audiobook, Contemporary, Literary Fiction, Science Fiction, Adult",3.81,"174,708","17,296",335,Hardcover,"First published October 4, 2022","A novel about a mother’s unbreakable love in a world consumed by fear.Twelve-year-old Bird Gardner lives a quiet existence with his loving but broken father, a former linguist who now shelves books in a university library. Bird knows to not ask too many questions, stand out too much, or stray too far. For a decade, their lives have been governed by laws written to preserve “American culture” in the wake of years of economic instability and violence. To keep the peace and restore prosperity, the authorities are now allowed to relocate children of dissidents, especially those of Asian origin, and libraries have been forced to remove books seen as unpatriotic—including the work of Bird’s mother, Margaret, a Chinese American poet who left the family when he was nine years old. Bird has grown up disavowing his mother and her poems; he doesn’t know her work or what happened to her, and he knows he shouldn’t wonder. But when he receives a mysterious letter containing only a cryptic drawing, he is pulled into a quest to find her. His journey will take him back to the many folktales she poured into his head as a child, through the ranks of an underground network of librarians, into the lives of the children who have been taken, and finally to New York City, where a new act of defiance may be the beginning of much-needed change.",34753
Cleopatra and Frankenstein,ISBN not found,Coco Mellors,"Fiction, Contemporary, Romance, Literary Fiction, Adult, Mental Health, Audiobook",3.76,"107,514","16,171",384,Hardcover,"First published February 15, 2022","For readers of Modern Lovers and Conversations with Friends, an addictive, humorous, and poignant debut novel about the shock waves caused by one couple's impulsive marriage.Twenty-four-year-old British painter Cleo has escaped from England to New York and is still finding her place in the sleepless city when, a few months before her student visa ends, she meets Frank. Twenty years older and a self-made success, Frank's life is full of all the excesses Cleo's lacks. He offers her the chance to be happy, the freedom to paint, and the opportunity to apply for a Green Card. But their impulsive marriage irreversibly changes both their lives, and the lives of those close to them, in ways they never could've predicted.Each compulsively readable chapter explores the lives of Cleo, Frank, and an unforgettable cast of their closest friends and family as they grow up and grow older. Whether it's Cleo's best friend struggling to embrace his gender queerness in the wake of Cleo's marriage, or Frank's financially dependent sister arranging sugar daddy dates to support herself after being cut off, or Cleo and Frank themselves as they discover the trials of marriage and mental illness, each character is as absorbing, and painfully relatable, as the last.As hilarious as it is heartbreaking, entertaining as it is deeply moving, Cleopatra and Frankenstein marks the entry of a brilliant and bold new talent.",32387
To Paradise,ISBN not found,Hanya Yanagihara,"Fiction, Historical Fiction, Literary Fiction, LGBT, Contemporary, Dystopia, Queer",3.76,"44,230","6,780",720,Hardcover,"First published January 11, 2022","From the author of the classic A Little Life, a bold, brilliant novel spanning three centuries and three different versions of the American experiment, about lovers, family, loss and the elusive promise of utopia.In an alternate version of 1893 America, New York is part of the Free States, where people may live and love whomever they please (or so it seems). The fragile young scion of a distinguished family resists betrothal to a worthy suitor, drawn to a charming music teacher of no means. In a 1993 Manhattan besieged by the AIDS epidemic, a young Hawaiian man lives with his much older, wealthier partner, hiding his troubled childhood and the fate of his father. And in 2093, in a world riven by plagues and governed by totalitarian rule, a powerful scientist’s damaged granddaughter tries to navigate life without him—and solve the mystery of her husband’s disappearances.These three sections are joined in an enthralling and ingenious symphony, as recurring notes and themes deepen and enrich one another: A townhouse in Washington Square Park in Greenwich Village; illness, and treatments that come at a terrible cost; wealth and squalor; the weak and the strong; race; the definition of family, and of nationhood; the dangerous righteousness of the powerful, and of revolutionaries; the longing to find a place in an earthly paradise, and the gradual realization that it can’t exist. What unites not just the characters, but these Americas, are their reckonings with the qualities that make us human: Fear. Love. Shame. Need. Loneliness.To Paradise is a fin de siècle novel of marvellous literary effect, but above all it is a work of emotional genius. The great power of this remarkable novel is driven by Yanagihara’s understanding of the aching desire to protect those we love – partners, lovers, children, friends, family and even our fellow citizens – and the pain that ensues when we cannot.",31569
Other Birds,ISBN not found,Sarah Addison Allen,"Fiction, Magical Realism, Fantasy, Contemporary, Romance, Paranormal, Adult",4.03,"61,629","8,363",290,Hardcover,"First published August 30, 2022","An enchanting tale filled with magical realism and moments of pure love that won’t let you go.Between the real and the imaginary, there are stories that take flight in the most extraordinary ways.Right off the coast of South Carolina, on Mallow Island, The Dellawisp sits—a stunning old cobblestone building shaped like a horseshoe, and named after the tiny turquoise birds who, alongside its human tenants, inhabit an air of magical secrecy.When Zoey comes to claim her deceased mother’s apartment at the Dellawisp she meets her quirky and secretive neighbors, including a young woman with a past, two estranged middle-aged sisters, and a lonely chef, and three ghosts. The sudden death of one of Zoey's new neighbors sets off a search that leads to the island's famous author and to a long-estranged relative of the sisters.Each of them has a story, and each story has an ending which hasn't yet been written.",24077
Notes on an Execution,ISBN not found,Danya Kukafka,"Fiction, Thriller, Mystery, Mystery Thriller, Contemporary, Audiobook, Crime",4.08,"89,394","11,332",306,Hardcover,"First published January 25, 2022","A work of literary suspense that deconstructs the story of a serial killer on death row, told primarily through the eyes of the women in his life.Ansel Packer is scheduled to die in twelve hours. He knows what he’s done, and now awaits execution, the same chilling fate he forced on those girls, years ago. But Ansel doesn’t want to die; he wants to be celebrated, understood. He hoped it wouldn’t end like this, not for him.Through a kaleidoscope of women—a mother, a sister, a homicide detective—we learn the story of Ansel’s life. We meet his mother, Lavender, a seventeen-year-old girl pushed to desperation; Hazel, twin sister to Ansel’s wife, inseparable since birth, forced to watch helplessly as her sister’s relationship threatens to devour them all; and finally, Saffy, the homicide detective hot on his trail, who has devoted herself to bringing bad men to justice but struggles to see her own life clearly. As the clock ticks down, these three women sift through the choices that culminate in tragedy, exploring the rippling fissures that such destruction inevitably leaves in its wake.",22990
